1,불편한 편의점,김호연,20220503,14000
2,우리가 빛의 속도로 갈 수 없다면,김초엽,20200121,14000
3,채식주의사,한강,20161025,12000
4,나미야 잡화점의 기적,히가시노 게이고,20121119,14800
5,작별인사,김영하,20220801,14000
6,1Q84,무라카미 하루키,20100225,14800
7,미드나잇 라이브러리,매트 헤이그,20210913,15800
8,선량한 차별주의자,김지혜,20190602,15000
9,아몬드,손원편,20170415,12000
10,지구 끝의 온실,김초엽,20211217,15000
11,타이탄의 도구들 : 61가지 전략,팀 페리스,20170322,18000
12,팩트풀니스,한스 로슬링,20190401,19800
13,프리드버스 선형대수학,스티븐 H. 프리드버그,20200629,35000
14,학문의 즐거움,히로나카 헤이스케,20011208,12800
15,STATA : 기초통계와 회귀분석,민인식,20121227,25000
16,검사내전,김웅,20180205,15000
17,당신이 옳다 : 정혜신의 적정심리학,정혜신,20181027,15800
18,불안,알랭 드 보통,20120115,15000
19,쇼코의 미소,최은영,20160719,12000
20,오뒷세이아,호메로스,20020307,18000
21,정의란 무엇인가,마이클 샌델,20100529,15000
22,종의 기원,정유정,20160530,13000
23,지구를 위한다는 착각,마이클 셸런버거,20210504,22000
24,탄소로운 식탁,윤지로,20220520,16200
25,어느 날 내 죽음에 네가 들어왔다,세이카 료겐,20220601,15000
26,세상의 마지막 기차역,무라세 다케시,20220801,12600
27,GRIT,앤절라 더크워스,20190308,16000
28,믿음에 대하여,박상영,20220720,14500
29,역행자,자청,20220620,17500
30,평생 감사,전광,20080915,7000
